locations,Pashupatinath Temple,Boudhanath (Stupa),Swayambhunath Stupa,Kopan Monastery,Garden of Dreams,Kathmandu Durbar Square,Buddha Nilkanth,Narayanhiti Palace,Indra Chowk,Taudaha Lake,Kathesimbhu Stupa,Dakshinkali Temple,National Museum of Nepal,White Monastery,Royal Botanical Gardens,Basantapur Tower,Khawalung Monastery,Patan Durbar Square,Nagarkot,Chandragiri,Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,Phulchoki,Kulekhani,Namo Buddha,Jump KTM,Art in Paradise Nepal,Whoopee Land,Kathmandu Fun Park,Outdoor Adventure Centre Nepal
Kathesimbhu Stupa,3.8420121281274406,5.313029432714472,2.004612911054614,6.443101300453247,0.7059444657011082,0.6253579384022948,9.190630480154766,1.273232502778927,0.4024618385519081,7.152844235304671,0.0,12.429421959214789,2.086934567702473,6.048712041558187,14.428915316311922,0.6685570079511296,6.340658614724165,4.281488297125042,20.81212364575319,8.60381965820186,14.211821129151406,13.99151499393043,16.01315345312446,18.596914244201056,31.13837106207362,4.685462500698091,0.9514404274706476,5.7552437815189315,1.3615790540415675,0.8263297711712561
Dakshinkali Temple,14.385443297886432,16.130439439239385,12.440512420759074,18.120960918051598,13.082893255575211,11.806498301228673,21.490403942363933,13.518540321617248,12.051413710308788,5.2767436777638626,12.429421959214789,0.0,11.392679454621375,16.74655644228558,11.860339973729245,11.761288880091191,17.594861697858722,9.692019156718686,27.07319461128614,10.412091359721876,26.46274842712815,21.571535217995176,10.913133966677316,6.43380155966568,31.918976143027695,16.627807272071998,11.73333391374594,6.678048505332691,11.959120466433882,13.254085234636017
National Museum of Nepal,5.904880961521797,7.3991763915519195,1.053330731821447,8.41783413695548,2.7058935500749204,1.7618948661924718,10.80585260627984,3.295274741185894,2.0254154409563236,6.2201058870168815,2.086934567702473,11.392679454621375,0.0,8.134273896187088,15.194128161456794,1.777761438156607,8.388880289504645,5.020736200526342,22.808656157794587,6.516889841419807,15.81032118898958,16.01860955668645,16.462067778894767,17.300663007126307,32.722031450858125,6.634258156542431,2.4025690999959712,4.847241354256146,3.0470592343520977,2.6744606228365275
White Monastery,2.4702357750534767,0.7377102576196999,7.81890386212104,2.1261301308982827,5.4535922876923735,6.479234290647317,6.077203121423987,4.879929356578324,6.1764836112020385,11.810531358989719,6.048712041558187,16.74655644228558,8.134273896187088,0.0,14.097641746360678,6.485624396295004,1.1520537677848095,7.055002426742437,15.276563107407327,14.649660681310843,10.358869854482467,8.4029931143439,16.47585576371894,23.171897093663613,27.13868753484209,2.501811019558767,6.040700942019855,10.610410128620503,5.487951671404988,5.55104451109642
Royal Botanical Gardens,13.039274618068484,13.94848149033065,15.963386924984832,16.20463792558615,14.632253674465632,14.095155837210315,20.174618695197083,14.607267689048117,14.089238442168067,11.502708445889226,14.428915316311922,11.860339973729245,15.194128161456794,14.097641746360678,0.0,14.043884722051256,15.249680838693607,10.232176957009125,17.11830077422559,18.901785120176452,24.14740747496627,13.688785667214892,2.842281722250603,16.582041865469435,20.0735542092399,15.736605373067778,13.493872101848053,11.91881683199059,13.118867977846337,14.91231119819637
Basantapur Tower,4.171036818734817,5.747967475379991,2.0424681504805813,7.017403841614913,1.351821832704631,0.05449190034580423,9.848315742737265,1.879349090679178,0.33027418174838186,6.484623599261098,0.6685570079511296,11.761288880091191,1.777761438156607,6.485624396295004,14.043884722051256,0.0,6.857675235164088,3.83022205931448,21.031607274333386,8.227189046608315,14.867957150790732,14.248055646713638,15.546242175374262,17.93091531439076,31.0775658557806,5.281041973747833,0.654657499941194,5.086709572766004,1.2816375656076413,1.49470973783846
Khawalung Monastery,3.2094924859402303,1.5054782594467329,7.935340390458943,1.001642549453257,5.68417718502671,6.842534178513776,4.925321666252364,5.094154435561036,6.533442778311128,12.560079354403276,6.340658614724165,17.594861697858722,8.388880289504645,1.1520537677848095,15.249680838693607,6.857675235164088,0.0,7.93170327968352,15.68091691081048,14.855906904595345,9.27112900232402,8.862318535524082,17.622855078236224,24.00232827955596,27.948145136273656,2.0312717454964533,6.498458561620519,11.306901097625982,6.012041275871387,5.726707383913258
Patan Durbar Square,4.735177841728751,6.450110410585372,5.734519298099288,8.531402968895025,4.624248488845523,3.882876126154276,12.169149692605878,4.775062063281562,3.912438236627438,4.927468738264613,4.281488297125042,9.692019156718686,5.020736200526342,7.055002426742437,10.232176957009125,3.83022205931448,7.93170327968352,0.0,19.332869070620376,10.129964669121797,17.008497434040798,12.945127473502591,11.732085796057195,16.12018690956783,27.995046238963408,7.213315668730176,3.330140779023608,3.978591917483535,3.096516539141903,4.892425766047198
Nagarkot,17.004489115305844,15.907140703325341,22.776703597369863,16.354657839842616,20.37376485021307,21.046766203471858,18.222811311046662,19.8687978454384,20.791846167154446,23.85802045414928,20.81212364575319,27.07319461128614,22.808656157794587,15.276563107407327,17.11830077422559,21.031607274333386,15.68091691081048,19.332869070620376,0.0,29.121454576764897,18.51445862796555,6.879169194659474,19.792047674137315,32.927126959375464,14.828316232737615,17.668701783547924,20.4259672298806,23.23169265120107,19.78038513947813,20.543196126005938
Chandragiri,12.397639959387652,13.915314622434643,6.937405464894766,14.786684484250651,9.203915776494362,8.223830445266923,16.549837323657524,9.787320728469975,8.512605656551598,7.457892130907068,8.60381965820186,10.412091359721876,6.516889841419807,14.649660681310843,18.901785120176452,8.227189046608315,14.855906904595345,10.129964669121797,29.121454576764897,0.0,21.358923013358954,22.416881639471057,19.289597610760147,14.478532342838292,37.972960221305,13.00128139410219,8.775580508122825,7.025228858896606,9.408606458751132,9.134952056988103
Shivapuri Nagarjun National Park,12.317129898451435,10.763715655150177,14.94094528411434,8.513373113007992,13.51613750679632,14.83079172977223,5.022629392359451,13.017610350680519,14.550791835713328,21.24146382542418,14.211821129151406,26.46274842712815,15.81032118898958,10.358869854482467,24.14740747496627,14.867957150790732,9.27112900232402,17.008497434040798,18.51445862796555,21.358923013358954,0.0,13.54023083922021,26.681044659048684,32.758581162715416,32.96898944986168,9.844742267412135,14.78119846288008,19.880863757184493,14.507579416600144,13.397629037675113
Bhaktapur Durbar Square,10.161893612488994,9.028145519677043,15.936159713526573,9.600843944737598,13.527814342609654,14.259760646791797,11.994403683520597,13.011740620616436,13.994256892170679,17.71971216769186,13.99151499393043,21.571535217995176,16.01860955668645,8.4029931143439,13.688785667214892,14.248055646713638,8.862318535524082,12.945127473502591,6.879169194659474,22.416881639471057,13.54023083922021,0.0,16.53065017472661,27.777726261472107,19.74675624613502,10.82074876229688,13.66139629146082,16.91850112355914,13.020235555647824,13.688710932088245
Phulchoki,15.161815307674768,16.250761179723536,17.333409158793835,18.545125109188916,16.31642542388452,15.599830102183736,22.52497926857764,16.377562038538528,15.643757826271676,11.846714510054582,16.01315345312446,10.913133966677316,16.462067778894767,16.47585576371894,2.842281722250603,15.546242175374262,17.622855078236224,11.732085796057195,19.792047674137315,19.289597610760147,26.681044659048684,16.53065017472661,0.0,14.749315128301157,21.322020595373107,17.904904862605118,15.06201223503489,12.5635050945229,14.779285545679617,16.591645095485983
Kulekhani,20.79374499243349,22.54761901508326,18.312905065071757,24.49887511819427,19.276721450419114,17.971942441184193,27.756128374161385,19.751214701164557,18.238142692596618,11.522088970077442,18.596914244201056,6.43380155966568,17.300663007126307,23.171897093663613,16.582041865469435,17.93091531439076,24.00232827955596,16.12018690956783,32.927126959375464,14.478532342838292,32.758581162715416,27.777726261472107,14.749315128301157,0.0,36.015054013921024,22.95923969458971,17.978915488236197,12.878168021177439,18.262194546653063,19.42204903771212
Namo Buddha,27.917592118934603,27.545111236158654,33.100954820111,28.85088936822691,30.962902953031218,31.11313696002661,31.70708368934437,30.624718347776266,30.954149826819588,31.018411647394824,31.13837106207362,31.918976143027695,32.722031450858125,27.13868753484209,20.0735542092399,31.0775658557806,27.948145136273656,27.995046238963408,14.828316232737615,37.972960221305,32.96898944986168,19.74675624613502,21.322020595373107,36.015054013921024,0.0,29.62395422441323,30.42362936101034,31.040932986430164,29.82764418844415,31.207728165372952
Jump KTM,2.751198025865278,2.1087443940490687,6.064441809539573,1.7886830690882436,3.987536716108295,5.255201727013293,4.956004170573393,3.413168375662722,4.950889593500015,11.43849526156626,4.685462500698091,16.627807272071998,6.634258156542431,2.501811019558767,15.736605373067778,5.281041973747833,2.0312717454964533,7.213315668730176,17.668701783547924,13.00128139410219,9.844742267412135,10.82074876229688,17.904904862605118,22.95923969458971,29.62395422441323,0.0,5.057090060027409,10.105634745195056,4.702582646620672,3.9673538940022963
Art in Paradise Nepal,3.65794180589482,5.306246010099148,2.688409545444081,6.740997690601015,1.4093092281609663,0.689581709139177,9.778176207179495,1.7855629009394156,0.5963914824807007,6.473669504861396,0.9514404274706476,11.73333391374594,2.4025690999959712,6.040700942019855,13.493872101848053,0.654657499941194,6.498458561620519,3.330140779023608,20.4259672298806,8.775580508122825,14.78119846288008,13.66139629146082,15.06201223503489,17.978915488236197,30.42362936101034,5.057090060027409,0.0,5.100862795879105,0.6463991373551591,1.641842350002417
Whoopee Land,8.149915337066314,9.926810780706104,5.898354258423725,11.705813730676939,6.418098486241932,5.131112181736353,14.878807597688233,6.876560527798829,5.3822454209803245,1.4049968085414015,5.7552437815189315,6.678048505332691,4.847241354256146,10.610410128620503,11.91881683199059,5.086709572766004,11.306901097625982,3.978591917483535,23.23169265120107,7.025228858896606,19.880863757184493,16.91850112355914,12.5635050945229,12.878168021177439,31.040932986430164,10.105634745195056,5.100862795879105,0.0,5.403401830607474,6.58103199230949
Kathmandu Fun Park,3.066436837612825,4.759334102164587,3.2733691547102954,6.324054446899897,1.5374580570243512,1.3082729290469743,9.532825965383125,1.7036943145665724,1.1266389658867153,6.740107589715676,1.3615790540415675,11.959120466433882,3.0470592343520977,5.487951671404988,13.118867977846337,1.2816375656076413,6.012041275871387,3.096516539141903,19.78038513947813,9.408606458751132,14.507579416600144,13.020235555647824,14.779285545679617,18.262194546653063,29.82764418844415,4.702582646620672,0.6463991373551591,5.403401830607474,0.0,1.8124609655775044
Outdoor Adventure Centre Nepal,3.5441751309510776,4.827580924263185,2.2729111570412392,5.746513903041593,0.2803305013845116,1.451613495030315,8.37532658795809,0.6798822041291472,1.206110091722531,7.977788985642232,0.8263297711712561,13.254085234636017,2.6744606228365275,5.55104451109642,14.91231119819637,1.49470973783846,5.726707383913258,4.892425766047198,20.543196126005938,9.134952056988103,13.397629037675113,13.688710932088245,16.591645095485983,19.42204903771212,31.207728165372952,3.9673538940022963,1.641842350002417,6.58103199230949,1.8124609655775044,0.0
